FIPS,EventId,Cruise,Program,Project,Agency,Source,Station,SampleDate,SampleTime,TotalDepth,UpperPycnocline,LowerPycnocline,Depth,Layer,SampleType,SampleReplicateType,Parameter,Qualifier,MeasureValue,Unit,Method,Lab,Problem,PrecisionPC,BiasPC,Details,Latitude,Longitude
"11001",417222,"NTN015","NTWQM","NTN","MDDNR","USGSMD","01648010",1/29/2015,14:45:00,,,,0,"VH","HVIC","S1","CLW",,550.00000,"MG/L","L01 ","USGS-NWQL",,,,"Data Source NWISMD; DB01; RecNo 01500463; data ported by JBell 04/16.    FIELD COMMENT: Composite of 2 containers.     ",38.96035,-77.04217
"11001",417223,"NTN015","NTWQM","NTN","MDDNR","USGSMD","01648010",3/10/2015,09:15:00,,,,0,"VH","HVIC","S1","CLW",,305.00000,"MG/L","L01 ","USGS-NWQL",,,,"Data Source NWISMD; DB01; RecNo 01500572; data ported by JBell 04/16.    FIELD COMMENT: Composite of 7 containers.     LAB COMMENT: A-0700005 Snow melt event.",38.96035,-77.04217
"11001",417224,"NTN015","NTWQM","NTN","MDDNR","USGSMD","01648010",3/11/2015,10:00:00,,,,0,"VH","HVIC","S1","CLW",,228.00000,"MG/L","L01 ","USGS-NWQL",,,,"Data Source NWISMD; DB01; RecNo 01500524; data ported by JBell 04/16.    FIELD COMMENT: Composite of 8 containers.     LAB COMMENT: A-0710238 TPCN 21mL; 22mL; 24mL",38.96035,-77.04217
"11001",417225,"NTN015","NTWQM","NTN","MDDNR","USGSMD","01648010",3/24/2015,10:00:00,,,,0,"VH","HVIC","S1","CLW",,175.00000,"MG/L","L01 ","USGS-NWQL",,,,"Data Source NWISMD; DB01; RecNo 01500571; data ported by JBell 04/16.    FIELD COMMENT: Sch2580; SS from stream; Ecoli     ",38.96035,-77.04217
"11001",417226,"NTN015","NTWQM","NTN","MDDNR","USGSMD","01648010",4/20/2015,08:15:00,,,,0,"VH","HVIC","S1","CLW",,32.90000,"MG/L","L01 ","USGS-NWQL",,,,"Data Source NWISMD; DB01; RecNo 01500689; data ported by JBell 04/16.    FIELD COMMENT: Composite of 9 containers.     ",38.96035,-77.04217
"11001",417227,"NTN015","NTWQM","NTN","MDDNR","USGSMD","01648010",4/30/2015,08:15:00,,,,0,"VH","HVIC","S1","CLW",,117.00000,"MG/L","L01 ","USGS-NWQL",,,,"Data Source NWISMD; DB01; RecNo 01500707; data ported by JBell 04/16.    FIELD COMMENT: Sch2580; SS from Stream; Ecoli. Churn 11; tubing 4.     LAB COMMENT: L-1240002 Received May 01; 2015",38.96035,-77.04217
"11001",417228,"NTN015","NTWQM","NTN","MDDNR","USGSMD","01648010",5/19/2015,09:45:00,,,,0,"VH","HVIC","S1","CLW",,31.90000,"MG/L","L01 ","USGS-NWQL",,,,"Data Source NWISMD; DB01; RecNo 01500737; data ported by JBell 04/16.    FIELD COMMENT: Composite of 6 containers.     LAB COMMENT: L-1410015 Sample type is missing in mandatory field; JNV",38.96035,-77.04217
"11001",417229,"NTN015","NTWQM","NTN","MDDNR","USGSMD","01648010",5/28/2015,10:00:00,,,,0,"VH","HVIC","S1","CLW",,99.80000,"MG/L","L01 ","USGS-NWQL",,,,"Data Source NWISMD; DB01; RecNo 01500814; data ported by JBell 04/16.    FIELD COMMENT: Sch2580; SS; Ecoli     ",38.96035,-77.04217
"11001",417230,"NTN015","NTWQM","NTN","MDDNR","USGSMD","01648010",6/2/2015,08:45:00,,,,0,"VH","HVIC","S1","CLW",,53.70000,"MG/L","L01 ","USGS-NWQL",,,,"Data Source NWISMD; DB01; RecNo 01500789; data ported by JBell 04/16.    FIELD COMMENT: Composite of 5 containers.     ",38.96035,-77.04217
"11001",417231,"NTN015","NTWQM","NTN","MDDNR","USGSMD","01648010",6/24/2015,08:45:00,,,,0,"VH","HVIC","S1","CLW",,29.00000,"MG/L","L01 ","USGS-NWQL",,,,"Data Source NWISMD; DB01; RecNo 01501105; data ported by JBell 04/16.    FIELD COMMENT: Composite of 6 containers.     ",38.96035,-77.04217
